order_id,customer_id,product_id,size,color,season,purchase_amount_usd,review_rating,shipping_type,discount_applied,promo_code_used,payment_method
1,1,1,L,Gray,Winter,53,3.1,Express,Yes,Yes,Venmo
2,2,2,L,Maroon,Winter,64,3.1,Express,Yes,Yes,Cash
3,3,3,S,Maroon,Spring,73,3.1,Free Shipping,Yes,Yes,Credit Card
4,4,4,M,Maroon,Spring,90,3.5,Next Day Air,Yes,Yes,PayPal
5,5,1,M,Turquoise,Spring,49,2.7,Free Shipping,Yes,Yes,PayPal
6,6,6,M,White,Summer,20,2.9,Standard,Yes,Yes,Venmo
7,7,7,M,Gray,Fall,85,3.2,Free Shipping,Yes,Yes,Cash
8,8,8,L,Charcoal,Winter,34,3.2,Free Shipping,Yes,Yes,Credit Card
9,9,9,L,Silver,Summer,97,2.6,Express,Yes,Yes,Venmo
10,10,10,M,Pink,Spring,31,4.8,2-Day Shipping,Yes,Yes,Cash
11,11,11,L,Purple,Fall,34,4.1,Store Pickup,Yes,Yes,Bank Transfer
12,12,8,S,Olive,Winter,68,4.9,Store Pickup,Yes,Yes,Bank Transfer
13,13,9,M,Gold,Winter,72,4.5,Express,Yes,Yes,Venmo
14,14,14,M,Violet,Spring,51,4.7,Express,Yes,Yes,PayPal
15,15,9,L,Teal,Winter,53,4.7,Free Shipping,Yes,Yes,Debit Card
16,16,16,M,Teal,Winter,81,2.8,Store Pickup,Yes,Yes,PayPal
17,17,17,S,Gray,Spring,36,4.1,Next Day Air,Yes,Yes,Debit Card
18,18,14,XL,Lavender,Winter,38,4.7,2-Day Shipping,Yes,Yes,Venmo
19,19,2,S,Black,Summer,48,4.6,Free Shipping,Yes,Yes,Cash
20,20,20,M,Green,Summer,90,3.3,Standard,Yes,Yes,Debit Card
21,21,20,M,Black,Winter,51,2.8,Express,Yes,Yes,Cash
22,22,20,M,Charcoal,Winter,62,4.1,Store Pickup,Yes,Yes,Debit Card
23,23,20,M,Peach,Summer,37,3.2,Store Pickup,Yes,Yes,Debit Card
24,24,20,XL,White,Winter,88,4.4,Express,Yes,Yes,Credit Card
25,25,25,M,Green,Fall,22,2.9,Store Pickup,Yes,Yes,Debit Card
26,26,26,M,Silver,Summer,25,3.6,Express,Yes,Yes,PayPal
27,27,27,M,Red,Spring,20,3.6,Next Day Air,Yes,Yes,Credit Card
28,28,8,L,Cyan,Summer,56,5,Next Day Air,Yes,Yes,Bank Transfer
29,29,10,M,Gray,Fall,94,4.4,Free Shipping,Yes,Yes,PayPal
30,30,14,S,Black,Fall,48,4.1,Store Pickup,Yes,Yes,Credit Card
31,31,27,L,Black,Winter,31,4.7,Standard,Yes,Yes,Credit Card
32,32,14,L,Brown,Winter,79,4.7,Store Pickup,Yes,Yes,Venmo
33,33,25,M,Silver,Summer,67,4.9,Free Shipping,Yes,Yes,Venmo
34,34,20,L,Green,Summer,38,3.3,Store Pickup,Yes,Yes,Cash
35,35,35,L,Violet,Spring,91,4.6,2-Day Shipping,Yes,Yes,PayPal
36,36,1,M,Cyan,Summer,33,4,2-Day Shipping,Yes,Yes,Credit Card
37,37,35,M,Maroon,Winter,69,4.6,Free Shipping,Yes,Yes,PayPal
38,38,3,S,Cyan,Summer,45,2.8,Store Pickup,Yes,Yes,PayPal
39,39,14,M,Red,Winter,37,3.7,2-Day Shipping,Yes,Yes,Venmo
40,40,20,S,Turquoise,Summer,60,4.2,Express,Yes,Yes,Credit Card
41,41,10,L,Beige,Winter,76,4.6,Next Day Air,Yes,Yes,Debit Card
42,42,42,M,Orange,Spring,39,4.5,Standard,Yes,Yes,Venmo
43,43,9,M,Beige,Spring,100,4.1,Free Shipping,Yes,Yes,PayPal
44,44,42,L,Lavender,Fall,69,3.7,Store Pickup,Yes,Yes,PayPal
45,45,45,S,Silver,Summer,53,4.6,Free Shipping,Yes,Yes,PayPal
46,46,46,XL,Indigo,Fall,21,2.9,2-Day Shipping,Yes,Yes,PayPal
47,47,7,L,White,Summer,43,2.9,Store Pickup,Yes,Yes,Cash
48,48,27,M,Charcoal,Winter,54,4.5,Free Shipping,Yes,Yes,Cash
49,49,7,M,Orange,Summer,55,2.7,Store Pickup,Yes,Yes,Cash
50,50,26,S,Indigo,Spring,30,4.6,Next Day Air,Yes,Yes,Debit Card
51,51,1,M,Red,Spring,28,3.7,Store Pickup,Yes,Yes,Debit Card
52,52,16,XL,Gray,Winter,59,4.7,2-Day Shipping,Yes,Yes,Credit Card
53,53,35,M,Green,Summer,20,2.6,Free Shipping,Yes,Yes,Credit Card
54,54,16,S,Peach,Winter,24,3.9,Next Day Air,Yes,Yes,Credit Card
55,55,9,M,Brown,Summer,94,4.2,Next Day Air,Yes,Yes,Debit Card
56,56,25,M,Lavender,Winter,28,3,2-Day Shipping,Yes,Yes,Credit Card
57,57,57,XL,Brown,Summer,73,4.7,Store Pickup,Yes,Yes,Credit Card
58,58,9,M,White,Summer,64,4.4,Store Pickup,Yes,Yes,Debit Card
59,59,26,M,Charcoal,Summer,54,4.2,Free Shipping,Yes,Yes,Venmo
60,60,60,L,Yellow,Spring,79,4.6,Standard,Yes,Yes,Debit Card
61,61,2,L,Brown,Summer,37,4,Express,Yes,Yes,Cash
62,62,42,M,Orange,Winter,68,4.7,Store Pickup,Yes,Yes,Credit Card
63,63,6,S,Magenta,Spring,21,3.8,Free Shipping,Yes,Yes,Credit Card
